HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR
Lecce,Lazio,0,0,15,6,2,1,4,1,2,1,0,0
Sassuolo,Cremonese,1,0,13,10,7,4,3,5,1,2,0,0
Atalanta,Parma,4,0,21,15,9,2,6,9,1,0,0,0
Genoa,Bologna,3,2,8,13,6,3,5,2,2,2,0,1
Juventus,Napoli,3,0,12,9,6,1,2,2,1,2,0,0
Roma,Milan,1,1,15,5,7,2,5,3,0,4,0,0
Verona,Udinese,1,3,7,20,4,7,3,8,2,0,0,0
Lazio,Genoa,3,2,14,16,4,4,5,3,2,3,0,0
Pisa,Sassuolo,1,3,15,21,6,5,2,5,3,3,0,0
Napoli,Fiorentina,2,1,19,15,6,5,4,4,1,1,0,0
Cagliari,Verona,4,0,13,9,7,3,6,3,0,2,0,1
Torino,Lecce,1,0,17,14,5,2,3,8,2,2,0,0
Como,Atalanta,0,0,28,6,9,2,7,1,4,3,0,1
Cremonese,Inter,0,2,9,15,3,4,1,6,3,0,0,0
Parma,Juventus,1,4,10,15,4,8,5,3,1,3,0,0
Udinese,Roma,1,0,8,10,4,3,4,7,5,4,0,0
Bologna,Milan,0,3,13,10,2,3,5,0,3,0,0,0
Verona,Pisa,0,0,4,11,0,3,8,4,1,2,0,0
Genoa,Napoli,2,3,12,14,3,5,4,3,2,4,0,1
Fiorentina,Torino,2,2,21,12,5,4,9,4,2,5,0,0
Bologna,Parma,0,1,16,5,2,1,4,5,1,3,1,1
Lecce,Udinese,2,1,16,6,5,1,7,0,1,2,0,0
Sassuolo,Inter,0,5,7,23,2,11,5,6,2,1,1,0
Juventus,Lazio,2,2,34,9,8,2,8,1,0,2,0,0
Atalanta,Cremonese,2,1,29,12,9,2,13,2,2,0,0,0
Roma,Cagliari,2,0,15,3,5,1,7,1,2,4,0,0
Pisa,Milan,1,2,7,7,2,2,3,1,1,3,0,1
Como,Fiorentina,1,2,16,7,3,3,4,2,4,2,1,0
Lazio,Atalanta,0,2,18,12,5,5,5,4,1,4,0,0
Inter,Juventus,3,2,21,11,9,8,4,1,4,2,0,1
Udinese,Sassuolo,1,2,8,10,2,3,7,6,3,3,0,0
Cremonese,Genoa,0,0,19,19,8,6,6,11,2,0,0,0
Parma,Verona,2,1,27,4,8,1,12,1,2,1,0,1
Torino,Bologna,1,2,7,14,2,6,4,2,3,1,0,0
Napoli,Roma,2,2,11,9,7,2,2,1,1,1,0,0
Cagliari,Lecce,0,2,11,13,0,4,8,2,0,0,0,0
Milan,Como,1,1,6,10,4,4,4,4,2,3,0,0
Sassuolo,Verona,3,0,8,12,4,1,6,5,2,3,0,1
Juventus,Como,0,2,11,11,3,2,7,2,1,0,0,0
Lecce,Inter,0,2,3,24,0,9,2,10,1,2,0,0
Cagliari,Lazio,0,0,11,10,2,3,3,6,3,2,1,0
Genoa,Torino,3,0,16,7,5,3,1,3,0,1,0,1
Atalanta,Napoli,2,1,10,10,7,4,6,1,1,1,0,0
Milan,Parma,0,1,25,9,6,3,5,2,2,1,0,0
Roma,Cremonese,3,0,23,2,5,0,9,1,1,1,0,0
Fiorentina,Pisa,1,0,15,7,5,1,4,3,3,3,0,0
Bologna,Udinese,1,0,11,10,6,3,4,7,1,1,0,0
Parma,Cagliari,1,1,18,11,4,5,6,3,2,4,0,0
Como,Lecce,3,1,12,5,7,2,5,1,0,1,0,0
Verona,Napoli,1,2,8,9,2,5,2,5,3,4,0,0
Inter,Genoa,2,0,14,6,6,2,10,2,2,1,0,0
Cremonese,Milan,0,2,15,20,3,6,6,7,2,0,0,0
Sassuolo,Atalanta,2,1,7,26,5,7,3,9,2,2,1,0
Torino,Lazio,2,0,13,12,5,3,6,9,4,1,0,0
Roma,Juventus,3,3,11,13,5,5,4,1,1,0,0,0
Pisa,Bologna,0,1,6,8,3,1,7,4,0,2,0,0
Udinese,Fiorentina,3,0,10,10,7,0,5,2,1,4,0,0
Napoli,Torino,2,1,14,7,9,4,11,2,0,3,0,0
Cagliari,Como,1,2,8,8,3,2,2,3,3,1,0,0
Atalanta,Udinese,2,2,22,8,4,2,11,3,1,2,0,0
Juventus,Pisa,4,0,25,7,7,2,4,4,1,3,0,0
Lecce,Cremonese,2,1,9,10,3,5,4,4,1,4,0,1
Bologna,Verona,1,2,19,15,2,5,5,3,1,2,0,0
Fiorentina,Parma,0,0,12,8,1,0,7,1,2,0,0,0
Genoa,Roma,2,1,11,8,5,1,3,6,1,3,0,0
Milan,Inter,1,0,9,11,2,2,1,6,2,2,0,0
Lazio,Sassuolo,2,1,13,7,5,4,1,6,0,4,0,0
Torino,Parma,4,1,15,6,6,3,2,7,1,3,0,0
Inter,Atalanta,1,1,16,8,3,3,2,3,2,2,0,0
Napoli,Lecce,2,1,12,12,4,2,7,7,0,1,0,0
Udinese,Juventus,0,1,10,22,2,8,2,6,3,1,0,0
Verona,Genoa,0,2,8,11,1,3,4,2,2,1,0,0
Pisa,Cagliari,3,1,10,14,6,4,1,5,1,4,1,1
Sassuolo,Bologna,0,1,9,16,3,3,7,4,1,2,0,0
Como,Roma,2,1,22,3,7,1,7,1,2,3,0,1
Lazio,Milan,1,0,7,17,2,3,1,9,4,1,0,0
Cremonese,Fiorentina,1,4,13,13,3,6,4,6,1,0,0,0
Cagliari,Napoli,0,1,7,17,0,5,2,7,2,2,0,0
Genoa,Udinese,0,2,18,6,2,4,7,1,1,5,0,0
Parma,Cremonese,0,2,8,7,1,4,3,1,3,3,0,0
Milan,Torino,3,2,15,19,6,7,4,6,3,1,0,0
Juventus,Sassuolo,1,1,18,7,8,1,9,4,1,2,0,0
Como,Pisa,5,0,14,7,7,0,7,1,0,2,0,0
Atalanta,Verona,1,0,11,12,3,3,2,4,1,3,0,0
Bologna,Lazio,0,2,15,9,4,5,2,1,1,1,0,0
Roma,Lecce,1,0,14,8,2,3,10,2,2,2,0,0
Fiorentina,Inter,1,1,16,12,6,4,3,5,3,3,0,0
