HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR
Mallorca,Sevilla,4,1,11,15,7,5,4,8,1,1,0,0
Celta,Osasuna,1,2,18,8,4,2,7,3,2,2,0,0
Barcelona,Mallorca,3,0,24,9,7,4,12,3,0,0,0,0
Sociedad,Elche,3,1,11,11,3,5,2,4,0,4,0,0
Alaves,Getafe,0,2,13,17,5,5,6,3,2,5,0,0
Ath Bilbao,Levante,4,2,22,6,7,3,4,3,2,1,0,1
Sevilla,Girona,1,1,11,15,3,6,5,7,3,3,0,0
Ath Madrid,Betis,0,1,10,8,5,4,7,3,3,1,0,0
Valencia,Real Madrid,0,2,7,11,0,6,5,8,1,1,0,0
Villarreal,Espanol,4,1,10,9,3,2,5,8,3,3,0,0
Elche,Osasuna,0,0,17,6,5,2,10,3,2,4,0,0
Espanol,Celta,2,2,9,14,3,5,2,2,1,0,0,0
Getafe,Villarreal,2,1,5,8,2,2,3,4,2,3,0,0
Sevilla,Alaves,1,1,4,12,2,1,0,3,5,0,2,0
Real Madrid,Sociedad,4,1,11,13,5,3,4,6,1,1,0,0
Oviedo,Ath Bilbao,1,2,7,13,1,4,2,3,2,3,0,0
Vallecano,Ath Madrid,3,0,13,9,9,3,4,8,1,3,0,0
Levante,Valencia,0,2,9,5,1,2,3,2,3,2,1,0
Mallorca,Betis,1,2,14,17,3,8,7,3,4,3,0,0
Girona,Barcelona,2,1,13,27,9,4,3,7,1,2,1,0
Levante,Villarreal,0,1,16,15,4,6,3,2,3,4,0,0
Ath Bilbao,Elche,2,1,18,2,8,2,4,1,3,3,0,0
Sociedad,Oviedo,3,3,15,14,8,6,7,6,2,1,0,0
Betis,Vallecano,1,1,14,12,3,3,3,5,4,3,0,0
Osasuna,Real Madrid,2,1,13,15,2,5,3,7,2,4,0,0
Ath Madrid,Espanol,4,2,18,8,9,2,5,3,0,1,0,0
Getafe,Sevilla,0,1,6,6,3,1,2,2,1,1,1,0
Barcelona,Levante,3,0,22,5,9,2,13,6,2,1,0,0
Celta,Mallorca,2,0,20,1,7,0,7,2,1,5,0,0
Villarreal,Valencia,2,1,12,8,5,3,5,4,2,4,0,0
Alaves,Girona,2,2,17,10,6,5,7,6,2,2,0,0
Levante,Alaves,2,0,22,17,5,7,10,6,1,6,0,1
Vallecano,Ath Bilbao,1,1,15,8,7,2,5,4,2,3,0,0
Barcelona,Villarreal,4,1,19,6,8,1,3,2,2,1,0,0
Mallorca,Sociedad,0,1,6,12,1,2,3,7,0,2,0,0
Oviedo,Ath Madrid,0,1,16,12,6,1,8,3,2,2,0,0
Elche,Espanol,2,2,17,9,9,4,3,1,1,6,0,1
Valencia,Osasuna,1,0,14,8,1,0,5,4,3,3,0,0
Betis,Sevilla,2,2,9,14,2,6,4,3,3,3,0,0
Girona,Celta,1,2,15,7,7,5,10,6,2,2,0,0
Real Madrid,Getafe,0,1,18,9,7,3,10,2,4,6,1,1
Vallecano,Oviedo,3,0,19,8,7,2,12,2,0,2,0,0
Celta,Real Madrid,1,2,8,14,4,3,1,6,1,2,0,0
Osasuna,Mallorca,2,2,22,8,5,4,8,0,2,5,1,1
Levante,Girona,1,1,14,22,4,5,2,3,2,2,1,0
Ath Madrid,Sociedad,3,2,24,7,9,3,8,1,1,1,0,0
Ath Bilbao,Barcelona,0,1,10,7,3,2,2,4,2,1,0,0
Villarreal,Elche,2,1,16,13,7,6,4,6,1,2,0,0
Getafe,Betis,2,0,9,14,5,5,3,8,3,2,0,0
Sevilla,Vallecano,1,1,11,9,2,2,6,2,1,3,0,0
Valencia,Alaves,3,2,19,10,8,4,10,2,1,6,0,2
Espanol,Oviedo,1,1,28,6,9,3,8,0,3,2,0,0
Alaves,Villarreal,1,1,8,10,0,4,5,2,4,1,0,0
Girona,Ath Bilbao,3,0,14,20,6,9,2,9,0,2,0,0
Ath Madrid,Getafe,1,0,16,7,5,3,10,3,3,3,0,1
Oviedo,Valencia,1,0,11,13,6,2,4,7,3,2,0,0
Real Madrid,Elche,4,1,14,11,6,1,5,4,1,3,0,0
Mallorca,Espanol,2,1,26,10,12,2,5,6,3,3,0,1
Barcelona,Sevilla,5,2,13,8,8,4,3,4,0,1,0,0
Betis,Celta,1,1,19,7,6,3,3,4,2,3,0,0
Sociedad,Osasuna,3,1,14,13,6,5,3,5,3,0,0,0
Vallecano,Levante,1,1,18,19,4,5,5,6,3,5,1,0
Villarreal,Sociedad,3,1,21,11,10,4,4,5,0,2,0,0
Elche,Mallorca,2,1,13,11,4,4,2,2,2,2,0,0
Espanol,Getafe,1,2,15,10,5,5,12,9,2,7,0,0
Levante,Oviedo,4,2,20,10,8,2,3,1,2,3,0,0
Osasuna,Girona,1,0,19,5,11,0,6,2,2,1,0,0
Sevilla,Valencia,0,2,13,9,2,4,1,3,2,1,0,0
Barcelona,Vallecano,1,0,15,8,4,4,6,9,3,4,0,0
Celta,Alaves,3,4,12,14,5,6,4,1,2,2,0,0
Ath Bilbao,Betis,2,1,11,11,6,3,6,5,1,1,0,0
Real Madrid,Ath Madrid,3,2,17,13,10,7,4,1,1,4,1,0
